,早,中,晚
45,芹菜花生米、拍黄瓜、豆腐脑、油条,香酥鸡腿、冬瓜大锅菜、鱼香肉丝、大米饭,宫保鸡丁、炒丝瓜、小米粥、馒头
46,芹菜木耳花生米、炒胡萝卜丝、疙瘩汤、花卷、鸡蛋,麻辣鸡块、茄泥、绿豆汤、馒头,豆角炒肉、西红柿鸡蛋、北瓜小米粥、馒头
47,黄瓜拌腐竹、炒菜花、面片汤、馒头,大盘鸡、小白菜粉条、黄瓜拉皮、挂面汤、大米饭,回锅肉、炒甘蓝、小米粥、花卷
48,,,
49,,,
50,早,中,晚
51,炒土豆丝、葱油黄瓜、八宝粥、馒头、鸡蛋,葱香腐竹、大锅菜、茄泥、烙饼,青椒土豆炒肉、西红柿炒鸡蛋、小米粥、花卷
52,凉拌扒糕、炝炒笋丝、黑米粥、花卷,麻酱面、西红柿鸡蛋面、麻酱豆角、花卷,土豆丝、蒜薹炒肉、北瓜小米粥、馒头
53,炒绿豆芽、青椒鸡蛋、荷叶粥、鸡蛋、花卷,京酱肉丝、麻辣鸡块、黄瓜花生米豆腐丝、大米饭,炒土豆片、番茄甘蓝粉、小米粥、馒头
54,芹菜木耳、炒白菜、豆腐脑、煎饼、蒸鸡蛋,黄瓜鸡蛋包子、猪肉大葱包子、尖椒炒肉丝、大米饭,麻辣鸡块、冬瓜大锅菜、北瓜小米粥、花卷
55,炒青椒、拍黄瓜、疙瘩汤、花卷、鸡蛋,海带龙须拌扒糕、冬瓜大锅菜、鱼香肉丝、大米饭,宫保鸡丁、炒丝瓜、小米粥、馒头
56,炒胡萝卜丝、炒番茄银耳、小米粥、花卷、鸡蛋,尖椒鸡蛋、拌苦瓜、绿豆汤、馒头,尖椒鸡蛋、西红柿鸡蛋、北瓜小米粥、馒头
57,炒空心菜、炒菜花、小米粥、馒头,大锅菜、菠菜鸡蛋、木耳花生米、挂面汤、大米饭,北瓜烧肉、尖椒鸡蛋、小米粥、花卷
58,,,
59,,,
60,,,
61,,,
62,,,
63,早,中,晚
64,拍黄瓜、大葱香菜豆腐丝、牛奶、鸡蛋、煎饼,红烧肉、大锅菜、芹菜花生米、丝瓜汤、大米饭,菜花炒肉、炒土豆丝、小米粥、花卷
65,姜汁藕片、洋葱海带丝、小米枸杞粥、花卷,小白菜麻酱面、西红柿鸡蛋面、宫保鸡丁、花卷,青椒土豆炒肉、炒甘蓝、花卷、小米粥、馒头
66,芹菜拌黄豆、洋葱香菜豆皮、薏米红枣粥、花卷,红烧鲅鱼、蒜薹鸡蛋、炸藕片、绿豆大米粥、豆沙烧饼,鱼香肉丝、青椒木耳鸡蛋、北瓜小米粥、馒头
67,番茄银耳、炒土豆丝、大拌菜、小米粥、豆包,牛肉白菜包子、西葫芦鸡蛋、鸡蛋汤,青椒土豆片、豆角炒肉、小米粥、馒头
68,炒西胡、菜花木耳花生米、豆腐脑、油条,麻辣鸡块、黄瓜木耳鸡蛋、绿豆大米粥、花卷,冬瓜汆丸子、西葫芦鸡蛋、、小米粥、花卷
